county_fips,week,county,state,new_cases_week,cumulative_cases
48381,2025-05-18,Randall,TX,2,3
48389,2025-04-13,Reeves,TX,1,1
48389,2025-05-25,Reeves,TX,1,2
48397,2025-03-16,Rockwall,TX,1,1
48397,2025-04-20,Rockwall,TX,1,2
48397,2026-02-22,Rockwall,TX,6,8
48397,2026-03-08,Rockwall,TX,6,14
48415,2025-05-18,Scurry,TX,1,1
48417,2025-04-27,Shackelford,TX,1,1
48439,2025-05-04,Tarrant,TX,2,2
48439,2025-05-25,Tarrant,TX,2,4
48445,2025-02-09,Terry,TX,3,3
48445,2025-02-16,Terry,TX,17,20
48445,2025-02-23,Terry,TX,1,21
48445,2025-03-16,Terry,TX,17,38
48445,2025-03-30,Terry,TX,5,43
48445,2025-04-06,Terry,TX,4,47
48445,2025-04-13,Terry,TX,5,52
48445,2025-04-20,Terry,TX,7,59
48445,2025-05-04,Terry,TX,1,60
48453,2025-03-16,Travis,TX,1,1
48453,2025-04-27,Travis,TX,1,2
48459,2025-04-13,Upshur,TX,1,1
48459,2025-04-20,Upshur,TX,1,2
48459,2025-04-27,Upshur,TX,3,5
48491,2025-05-25,Williamson,TX,6,6
48491,2025-08-03,Williamson,TX,2,8
48501,2025-02-09,Yoakum,TX,2,2
48501,2025-02-16,Yoakum,TX,2,4
48501,2025-02-23,Yoakum,TX,2,6
48501,2025-03-16,Yoakum,TX,9,15
48501,2025-03-30,Yoakum,TX,2,17
48501,2025-04-06,Yoakum,TX,1,18
48501,2025-04-13,Yoakum,TX,1,19
48501,2025-05-04,Yoakum,TX,1,20
49011,2025-11-30,Davis,UT,1,1
49011,2025-12-07,Davis,UT,1,2
49011,2026-02-08,Davis,UT,1,3
49011,2026-02-22,Davis,UT,1,4
49011,2026-03-01,Davis,UT,1,5
49011,2026-03-08,Davis,UT,4,9
49035,2025-11-16,Salt Lake,UT,1,1
49035,2025-11-23,Salt Lake,UT,1,2
49035,2025-12-07,Salt Lake,UT,1,3
49035,2025-12-21,Salt Lake,UT,1,4
49035,2025-12-28,Salt Lake,UT,1,5
49035,2026-01-11,Salt Lake,UT,1,6
49035,2026-01-18,Salt Lake,UT,2,8
49035,2026-01-25,Salt Lake,UT,10,18
49035,2026-02-01,Salt Lake,UT,6,24
49035,2026-02-08,Salt Lake,UT,2,26
49035,2026-02-15,Salt Lake,UT,6,32
49035,2026-02-22,Salt Lake,UT,2,34
49035,2026-03-01,Salt Lake,UT,10,44
49035,2026-03-08,Salt Lake,UT,4,48
49037,2026-02-01,San Juan,UT,3,3
49043,2026-01-11,Summit,UT,1,1
49045,2026-02-15,Tooele,UT,2,2
49045,2026-02-22,Tooele,UT,4,6
49045,2026-03-08,Tooele,UT,5,11
49049,2025-06-15,Utah,UT,1,1
49049,2025-06-22,Utah,UT,4,5
49049,2025-06-29,Utah,UT,2,7
49049,2025-10-26,Utah,UT,1,8
49049,2025-11-02,Utah,UT,1,9
49049,2025-12-07,Utah,UT,1,10
49049,2025-12-21,Utah,UT,6,16
49049,2026-01-04,Utah,UT,3,19
49049,2026-01-11,Utah,UT,5,24
49049,2026-01-18,Utah,UT,4,28
49049,2026-01-25,Utah,UT,7,35
49049,2026-02-08,Utah,UT,3,38
49049,2026-02-15,Utah,UT,3,41
49049,2026-02-22,Utah,UT,5,46
49049,2026-03-01,Utah,UT,4,50
49049,2026-03-08,Utah,UT,17,67
49051,2025-11-23,Wasatch,UT,8,8
49051,2025-12-07,Wasatch,UT,1,9
49057,2026-01-18,Weber-Morgan,UT,2,2
50015,2025-03-09,Lamoille,VT,1,1
50023,2026-02-08,Washington,VT,1,1
53011,2026-01-18,Clark,WA,1,1
53011,2026-02-01,Clark,WA,7,8
53033,2025-02-23,King,WA,1,1
53033,2025-04-06,King,WA,1,2
53033,2025-04-20,King,WA,1,3
53033,2025-05-18,King,WA,1,4
53033,2025-06-22,King,WA,2,6
53033,2025-10-26,King,WA,1,7
53037,2026-01-11,Kittitas,WA,1,1
53061,2025-03-16,Snohomish,WA,1,1
53061,2025-03-30,Snohomish,WA,1,2
53061,2026-01-11,Snohomish,WA,4,6
53061,2026-01-18,Snohomish,WA,2,8
53061,2026-01-25,Snohomish,WA,1,9
53061,2026-02-01,Snohomish,WA,4,13
53061,2026-02-08,Snohomish,WA,1,14
53061,2026-02-22,Snohomish,WA,2,16
53063,2025-08-24,Spokane,WA,1,1
53065,2026-02-01,Stevens,WA,1,1
53065,2026-02-08,Stevens,WA,2,3
53073,2025-06-15,Whatcom,WA,1,1
53073,2025-06-22,Whatcom,WA,1,2
55025,2026-01-25,Dane,WI,1,1
55083,2025-07-13,Oconto,WI,1,1
55083,2025-07-20,Oconto,WI,4,5
55083,2025-07-27,Oconto,WI,4,9
55083,2025-08-10,Oconto,WI,2,11
55083,2025-08-17,Oconto,WI,13,24
55083,2025-08-24,Oconto,WI,3,27
55083,2025-08-31,Oconto,WI,8,35
55083,2025-09-07,Oconto,WI,1,36
55133,2026-01-18,Waukesha,WI,1,1
56007,2025-07-20,Carbon,WY,1,1
56007,2025-07-27,Carbon,WY,4,5
56007,2025-08-10,Carbon,WY,1,6
56007,2025-08-24,Carbon,WY,1,7
56013,2025-12-14,Fremont,WY,5,5
56025,2025-06-29,Natrona,WY,1,1
56027,2025-07-06,Niobrara,WY,1,1
56029,2025-12-14,Park,WY,1,1
